"mcpi","project","owner","ownership_cat","lon","lat","overall_sqft","built_status","zoning","place_type","policy_area","gis_acres","n_buildings","total_bldg_sqft","earliest_permit","latest_permit","earliest_year","n_built","n_under_construction","addresses"
"193178229000","STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST)","NOVA BUILDING 4 LLC  ","Private",-77.546324,39.05419,353319,"UNDER CONSTRUCTION","IP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",8.86633831033645,1,353319,"2025-01-31","2025-01-31",NA,0,1,"42590 PATRIOT PARK DR"
"193281883000","STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST)","NOVA BUILDING 3 LLC  ","Private",-77.544838,39.055539,413099,"UNDER CONSTRUCTION","IP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",9.88153527588172,1,413099,"2025-01-31","2025-01-31",NA,0,1,"42376 PATRIOT PARK DR"
"046368231000","LE BOURGET BUSINESS PARK","22995 WILDER COURT LLC","Private",-77.443678,38.980304,130432,"BUILT","PDGI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",11.5106994421414,1,130432,"1999-12-30","1999-12-30",2006,1,0,"22995 WILDER CT"
"203371445000","EVERGREEN MEADOWS","YONDR JK 2 LLC","Private",-77.549457,38.950184,335638,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",27.0668755909278,1,335638,"2023-10-17","2023-10-17",2024,1,0,"24171 YOUNGWOOD LN"
"161253540000","","TECH PARK AT BRAMBLETON LLC","Private",-77.535866,38.95728,429213,"UNDER CONSTRUCTION","IP","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",15.3549813281566,1,429213,"2025-08-21","2025-08-21",NA,0,1,"42831 GRUMPY TOAD PLZ"
"044461959000","PACIFIC CORPORATE PARK","PACIFIC-ASHBURN CAMPUS LLC","Private",-77.447039,39.004684,1027499,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",43.0826676239288,3,1027499,"2025-06-05","2025-07-29",NA,0,3,"22214 POWER PLAYER LN; 22279 POWER PLAYER LN; 22190 POWER PLAYER LN"
"203170856000","INOVA HEALTH SYSTEM PLAN","AMAZON DATA SERVICES, INC","Private",-77.548125,38.94416,429213,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",14.6259823243473,1,429213,"2025-05-06","2025-05-06",NA,0,1,"42090 REEDS FARM LN"
"061394321000","BEAUMEADE","DIGITAL FILIGREE LLC","Private",-77.456659,39.014289,336544,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",13.1272479455181,1,336544,"2025-07-09","2025-07-09",NA,0,1,"21780 FILIGREE CT"
"113167503000","BELMONT INNOVATION STATION","LOUDOUN PROP 7 LLC","Private",-77.50851,39.075583,243984,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",17.8248482707366,1,243984,"2025-07-08","2025-07-08",NA,0,1,"19560 HYPERSPACE LN"
"045465016000","1501 MORAN ROAD","1501 MORAN ROAD DEVELOPMENT OWNER LLC","Private",-77.44568,38.995314,245801,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",7.4243711600287,1,245801,"2025-08-29","2025-08-29",NA,0,1,"22425 SOUS VIDE LN"
"030286764000","TALL OAKS","MARIES TECH PARK II LLC","Private",-77.416721,39.022499,218112,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",9.57783697595039,1,218112,"2025-04-09","2025-04-09",NA,0,1,"45757 MARIES RD"
"233108602000","","EPL REALTY LLC","Private",-77.55651,39.085121,140538,"UNDER CONSTRUCTION","TOWNS","TOWNS","TOWN",4.7202440852646,1,140538,"2023-05-22","2023-05-22",NA,0,1,"102 BLUE SEAL DR SE"
"045399350000","DIGITAL STERLING PREMEIRE","DIGITAL GOLD STERLING LLC","Private",-77.43405,38.992045,180355,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",5.59886713162834,1,180355,"2023-03-10","2023-03-10",2024,1,0,"22588 RELOCATION DR"
"194498227000","STONEWALL SECURE BUSINESS PARK (PROJECT ASPEN)","HAYDEN TECHNOLOGIES LLC","Private",-77.539332,39.051352,331255,"BUILT","IP","TRANSITION LIGHT INDUSTRIAL","TRANSITION",57.8800947721569,3,331255,"2019-06-12","2020-12-29",2021,3,0,"20481 GOOSE LANDING LN; 20471 GOOSE LANDING LN; 20491 GOOSE LANDING LN"
"063477734000","PROJECT NOVA","SDC ASHBURN I LLC","Private",-77.459098,38.995791,481779,"UNDER CONSTRUCTION","OP","URBAN TRANSIT CENTER","URBAN",11.1937376594755,1,481779,"2025-06-17","2025-06-17",NA,0,1,"44595 LOW LATENCY LN"
"096183926000","H&M PROPERTY","AMAZON DATA SERVICES INC","Private",-77.485251,38.920754,518840,"UNDER CONSTRUCTION","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",26.3963608555906,2,518840,"2022-08-15","2025-06-30",NA,0,2,"25190 MEADOWDALE DR; 43920 LONE CEDAR LN"
"061200160000","BEAUMEADE","EQUINIX LLC","Private",-77.454846,39.012022,399216,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",15.0572758037178,2,399216,"2020-09-24","2024-05-29",2020,1,1,"22165 BEAUMEADE CIR; 22175 BEAUMEADE CIR"
"062159785000","PROJECT NOVA","SDC ASHBURN ALPHA I LLC","Private",-77.47129,38.996055,531592,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",28.0723831370564,3,531592,"2020-06-16","2022-04-14",2021,3,0,"44254 IMPORT PLZ; 44305 IMPORT PLZ; 44351 IMPORT PLZ"
"062275493000","PROJECT NOVA","","Private",-77.459879,38.999019,738961,"UNDER CONSTRUCTION","OP","URBAN TRANSIT CENTER","URBAN",26.0083048284009,2,738961,"2023-07-09","2023-07-19",NA,0,2,"22275 LOCKRIDGE RD; 22285 LOCKRIDGE RD"
